id,category,case_pass,route_correct,tool_selection_correct,tool_arguments_correct,tool_order_correct,approval_correct,guardrail_correct,project_correct,cross_check_correct,recovery_correct,task_completion_correct,expected_routes,actual_routes,duration_ms,iteration_count,min_steps,step_efficiency_ratio,total_tokens,cost_usd,failures
conversation_greeting,routing,True,True,True,True,True,,True,,,,True,[],[],4687.923,0,,,1692,0.00031,[]
conversation_capabilities,routing,True,True,True,True,True,,True,,,,True,[],[],2583.248,0,,,1818,0.000358,[]
conversation_out_of_scope,routing,True,True,True,True,True,,True,,,,True,[],[],2433.312,0,,,1783,0.00034,[]
rag_ultrasonic_principle,routing,True,True,True,True,True,,True,,,,True,"[""rag_agent""]","[""rag_agent""]",50486.344,1,1,1.0,8404,0.002201,[]
rag_uno_memory,routing,True,True,True,True,True,,True,,,,True,"[""rag_agent""]","[""rag_agent""]",29522.38,1,1,1.0,5021,0.001195,[]
rag_servo_pwm,routing,True,True,True,True,True,,True,,,,False,"[""rag_agent""]","[""rag_agent""]",38630.061,1,1,1.0,11484,0.003014,[]
wiring_single_hcsr04,routing,True,True,True,True,True,,True,True,,,True,"[""wiring_agent""]","[""wiring_agent""]",9409.083,1,1,1.0,14634,0.010926,[]
wiring_i2c_shared_bus,routing,True,True,True,True,True,,True,True,,,True,"[""wiring_agent""]","[""wiring_agent""]",11046.979,1,1,1.0,18398,0.013905,[]
wiring_raspberry_pi_supported,routing,True,True,True,True,True,,True,True,,,True,"[""wiring_agent""]","[""wiring_agent""]",13723.793,1,1,1.0,19985,0.017338,[]
wiring_single_dht11,routing,True,True,True,True,True,,True,True,,,True,"[""wiring_agent""]","[""wiring_agent""]",9357.09,1,1,1.0,13857,0.009939,[]
wiring_unknown_component_consults_rag,routing,True,True,True,True,True,,True,,,,,"[""wiring_agent"", ""rag_agent""]","[""wiring_agent"", ""rag_agent""]",44611.174,2,2,1.0,12890,0.007208,[]
coding_generic_python_out_of_scope,routing,True,True,True,True,True,,True,,,,,[],[],1861.76,0,,,1893,0.00038,[]
coding_create_arduino_approved,routing,True,True,True,True,True,True,True,True,,,True,"[""coding_agent""]","[""coding_agent""]",5408.563,1,1,1.0,6237,0.003653,[]
coding_create_rejected,routing,True,True,True,True,True,True,True,True,,,,[],[],2156.282,0,,,1932,0.000438,[]
coding_review_rejected,routing,True,True,True,True,True,True,True,True,,,,[],[],1975.429,0,,,1930,0.000383,[]
visualization_generic_robot_approved,routing,True,True,True,True,True,True,True,True,,,False,"[""robot_visualization_agent""]","[""robot_visualization_agent""]",38147.839,1,1,1.0,7026,0.002073,[]
visualization_generic_robot_rejected,routing,True,True,True,True,True,True,True,True,,,,[],[],3281.274,0,,,1846,0.000358,[]
component_digikey_search,routing,False,True,False,False,True,,True,False,,,,"[""component_manager""]","[""component_manager""]",3847.536,1,1,1.0,3370,0.00068,"[""missing required tools: [{'agent': 'component_manager', 'tool': 'search_digikey', 'arguments': {'quantity': 3}, 'actual_count': 0}]"", ""tool argument mismatches: [{'agent': 'component_manager', 'tool': 'search_digikey', 'arguments': {'quantity': 3}, 'matching_argument_count': 0}]"", ""project state did not contain expected subset: {\""product_cards\"": {\""min_items\"": 1}}""]"
component_purchase_proposal,routing,False,True,False,False,False,False,True,False,,,,"[""component_manager""]","[""component_manager""]",3362.093,1,1,1.0,3417,0.000751,"[""missing required tools: [{'agent': 'component_manager', 'tool': 'search_digikey', 'arguments': {'quantity': 2}, 'actual_count': 0}, {'agent': 'component_manager', 'tool': 'create_digikey_proposal', 'arguments': {'quantity': 2}, 'actual_count': 0}]"", ""tool argument mismatches: [{'agent': 'component_manager', 'tool': 'search_digikey', 'arguments': {'quantity': 2}, 'matching_argument_count': 0}, {'agent': 'component_manager', 'tool': 'create_digikey_proposal', 'arguments': {'quantity': 2}, 'matching_argument_count': 0}]"", ""required tool order was not observed"", ""expected 1 approval(s), observed 0"", ""project state did not contain expected subset: {\""purchase\"": {\""proposal\"": {\""ap2\"": {\""human_confirmation_required\"": true}, \""quantity\"": 2, \""status\"": \""pending\"", \""success\"": true}}}""]"
