id,category,case_pass,route_correct,tool_selection_correct,tool_arguments_correct,tool_order_correct,approval_correct,guardrail_correct,project_correct,cross_check_correct,recovery_correct,task_completion_correct,expected_routes,actual_routes,duration_ms,iteration_count,min_steps,step_efficiency_ratio,total_tokens,cost_usd,failures
conversation_greeting,routing,True,True,True,True,True,,True,,,,True,[],[],3439.019,0,,,1700,0.000313,[]
conversation_capabilities,routing,True,True,True,True,True,,True,,,,True,[],[],2559.099,0,,,1815,0.000358,[]
conversation_out_of_scope,routing,True,True,True,True,True,,True,,,,True,[],[],3632.9,0,,,1876,0.000393,[]
rag_ultrasonic_principle,routing,True,True,True,True,True,,True,,,,True,"[""rag_agent""]","[""rag_agent""]",45977.546,1,1,1.0,12812,0.003695,[]
rag_uno_memory,routing,True,True,True,True,True,,True,,,,True,"[""rag_agent""]","[""rag_agent""]",28722.933,1,1,1.0,8623,0.002158,[]
rag_servo_pwm,routing,True,True,True,True,True,,True,,,,False,"[""rag_agent""]","[""rag_agent""]",30544.529,1,1,1.0,7327,0.001947,[]
wiring_single_hcsr04,routing,True,True,True,True,True,,True,True,,,True,"[""wiring_agent""]","[""wiring_agent""]",13223.558,1,1,1.0,14274,0.010536,[]
wiring_i2c_shared_bus,routing,True,True,True,True,True,,True,True,,,True,"[""wiring_agent""]","[""wiring_agent""]",16123.996,1,1,1.0,18649,0.013945,[]
wiring_raspberry_pi_supported,routing,True,True,True,True,True,,True,True,,,True,"[""wiring_agent""]","[""wiring_agent""]",20915.235,1,1,1.0,22421,0.022828,[]
wiring_single_dht11,routing,True,True,True,True,True,,True,True,,,True,"[""wiring_agent""]","[""wiring_agent""]",11070.628,1,1,1.0,13871,0.009996,[]
wiring_unknown_component_consults_rag,routing,True,True,True,True,True,,True,,,,,"[""wiring_agent"", ""rag_agent""]","[""wiring_agent"", ""rag_agent""]",39678.676,2,2,1.0,15321,0.008214,[]
coding_generic_python_out_of_scope,routing,True,True,True,True,True,,True,,,,,[],[],2413.965,0,,,1940,0.000407,[]
